pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1st,1,female,29,0,0,24160,211.337494,B5,Southampton,2,NA,"St Louis, MO"
1st,1,male,0.916700006,1,2,113781,151.550003,C22 C26,Southampton,11,NA,"Montreal, PQ / Chesterville, ON"
1st,0,female,2,1,2,113781,151.550003,C22 C26,Southampton,,NA,"Montreal, PQ / Chesterville, ON"
1st,0,male,30,1,2,113781,151.550003,C22 C26,Southampton,,135,"Montreal, PQ / Chesterville, ON"
1st,0,female,25,1,2,113781,151.550003,C22 C26,Southampton,,NA,"Montreal, PQ / Chesterville, ON"
1st,1,male,48,0,0,19952,26.5499992,E12,Southampton,3,NA,"New York, NY"
1st,1,female,63,1,0,13502,77.9582977,D7,Southampton,10,NA,"Hudson, NY"
1st,0,male,39,0,0,112050,0,A36,Southampton,,NA,"Belfast, NI"
1st,1,female,53,2,0,11769,51.4791985,C101,Southampton,D,NA,"Bayside, Queens, NY"
1st,0,male,71,0,0,PC 17609,49.5042,,Cherbourg,,22,"Montevideo, Uruguay"
1st,0,male,47,1,0,PC 17757,227.524994,C62 C64,Cherbourg,,124,"New York, NY"
1st,1,female,18,1,0,PC 17757,227.524994,C62 C64,Cherbourg,4,NA,"New York, NY"
1st,1,female,24,0,0,PC 17477,69.3000031,B35,Cherbourg,9,NA,"Paris, France"
1st,1,female,26,0,0,19877,78.8499985,,Southampton,6,NA,
1st,1,male,80,0,0,27042,30,A23,Southampton,B,NA,"Hessle, Yorks"
1st,0,male,NA,0,0,PC 17318,25.9249992,,Southampton,,NA,"New York, NY"
1st,0,male,24,0,1,PC 17558,247.520798,B58 B60,Cherbourg,,NA,"Montreal, PQ"
1st,1,female,50,0,1,PC 17558,247.520798,B58 B60,Cherbourg,6,NA,"Montreal, PQ"
1st,1,female,32,0,0,11813,76.2917023,D15,Cherbourg,8,NA,
1st,0,male,36,0,0,13050,75.2416992,C6,Cherbourg,A,NA,"Winnipeg, MN"
1st,1,male,37,1,1,11751,52.5541992,D35,Southampton,5,NA,"New York, NY"
1st,1,female,47,1,1,11751,52.5541992,D35,Southampton,5,NA,"New York, NY"
1st,1,male,26,0,0,111369,30,C148,Cherbourg,5,NA,"New York, NY"
1st,1,female,42,0,0,PC 17757,227.524994,,Cherbourg,4,NA,
1st,1,female,29,0,0,PC 17483,221.779205,C97,Southampton,8,NA,
1st,0,male,25,0,0,13905,26,,Cherbourg,,148,"San Francisco, CA"
1st,1,male,25,1,0,11967,91.0792007,B49,Cherbourg,7,NA,"Dowagiac, MI"
1st,1,female,19,1,0,11967,91.0792007,B49,Cherbourg,7,NA,"Dowagiac, MI"
1st,1,female,35,0,0,PC 17760,135.633301,C99,Southampton,8,NA,
1st,1,male,28,0,0,110564,26.5499992,C52,Southampton,D,NA,"Stockholm, Sweden / Washington,"
1st,0,male,45,0,0,113784,35.5,T,Southampton,,NA,"Trenton, NJ"
1st,1,male,40,0,0,112277,31,A31,Cherbourg,7,NA,"Glen Ridge, NJ"
1st,1,female,30,0,0,36928,164.866699,C7,Southampton,8,NA,"Youngstown, OH"
1st,1,female,58,0,0,113783,26.5499992,C103,Southampton,8,NA,"Birkdale, England Cleveland, Oh"
1st,0,male,42,0,0,110489,26.5499992,D22,Southampton,,NA,"London / Winnipeg, MB"
1st,1,female,45,0,0,PC 17608,262.375,,Cherbourg,4,NA,"Cooperstown, NY"
1st,1,female,22,0,1,113505,55,E33,Southampton,6,NA,"St Leonards-on-Sea, England Ohi"
1st,1,male,NA,0,0,111427,26.5499992,,Southampton,9,NA,"Los Angeles, CA"
1st,0,male,41,0,0,113054,30.5,A21,Southampton,,NA,"Pomeroy, WA"
1st,0,male,48,0,0,PC 17591,50.4958,B10,Cherbourg,,208,"Omaha, NE"
1st,0,male,NA,0,0,112379,39.5999985,,Cherbourg,,NA,"Philadelphia, PA"
1st,1,female,44,0,0,PC 17610,27.7208004,B4,Cherbourg,6,NA,"Denver, CO"
1st,1,female,59,2,0,11769,51.4791985,C101,Southampton,D,NA,"Belmont, MA"
1st,1,female,60,0,0,11813,76.2917023,D15,Cherbourg,8,NA,"Philadelphia, PA"
1st,1,female,41,0,0,16966,134.5,E40,Cherbourg,3,NA,
1st,0,male,45,0,0,113050,26.5499992,B38,Southampton,,NA,"Washington, DC"
1st,0,male,NA,0,0,113798,31,,Southampton,,NA,
1st,1,male,42,0,0,PC 17476,26.2875004,E24,Southampton,5,NA,"New York, NY"
